sample_name	file_1	file_2	stage
30p_dome	bigwigs/30p.dome.plus.bw	bigwigs/30p.dome.minus.bw	pre_mbt
64_cell	bigwigs/64cells.plus.bw	bigwigs/64cells.minus.bw	pre_mbt
512_cell	bigwigs/512cells.plus.bw	bigwigs/512cells.minus.bw	pre_mbt
fertilized_egg	bigwigs/fertilized.egg.plus.bw	bigwigs/fertilized.egg.minus.bw	pre_mbt
high	bigwigs/high.plus.bw	bigwigs/high.minus.bw	pre_mbt
oblong	bigwigs/oblong.plus.bw	bigwigs/oblong.minus.bw	pre_mbt
prim6	bigwigs/prim6.plus.bw	bigwigs/prim6.minus.bw	post_mbt
prim6_rep1	bigwigs/prim6.rep1.plus.bw	bigwigs/prim6.rep1.minus.bw	post_mbt
prim6_rep2	bigwigs/prim6.rep2.plus.bw	bigwigs/prim6.rep2.minus.bw	post_mbt
prim20	bigwigs/prim20.plus.bw	bigwigs/prim20.minus.bw	post_mbt
shield	bigwigs/shield.plus.bw	bigwigs/shield.minus.bw	shift
somites	bigwigs/somites.plus.bw	bigwigs/somites.minus.bw	post_mbt
sphere	bigwigs/sphere.dome.plus.bw	bigwigs/sphere.dome.minus.bw	pre_mbt
unfertilized_egg	bigwigs/unfertilized.egg.plus.bw	bigwigs/unfertilized.egg.minus.bw	pre_mbt
